Year,Month,Day,VPM1,VPM2,Amplitude
1979,8,28,2.36904,-1.67204,2.89967
1979,8,29,2.22559,-1.67525,2.78563
1979,8,30,2.06311,-1.58941,2.60435
1979,8,31,1.61754,-1.33039,2.09437
1979,9,1,1.42904,-1.21787,1.8776
1979,9,2,1.15022,-1.04849,1.55638
1979,9,3,1.14856,-0.97992,1.50978
1979,9,4,1.23374,-0.99469,1.58477
1979,9,5,1.29655,-1.13504,1.72318
1979,9,6,1.34974,-1.15608,1.77717
1979,9,7,1.16093,-1.02253,1.54703
1979,9,8,0.8594,-1.04112,1.35
1979,9,9,0.68703,-1.0328,1.24044
1979,9,10,0.75877,-1.01971,1.27104
1979,9,11,0.75278,-1.11876,1.34844
1979,9,12,0.76749,-1.08656,1.33028
1979,9,13,0.77305,-0.75564,1.08102
1979,9,14,0.80001,-0.95115,1.24286
1979,9,15,0.74879,-1.11086,1.33966
1979,9,16,0.71835,-1.11602,1.32722
1979,9,17,0.71597,-1.36608,1.54233
1979,9,18,0.28569,-1.30348,1.33442
1979,9,19,-0.0522,-1.02832,1.02964
1979,9,20,-0.35939,-0.99673,1.05955
1979,9,21,-0.5191,-0.8701,1.01318
1979,9,22,-0.92281,-0.57444,1.08699
1979,9,23,-1.32744,-0.20922,1.34382
1979,9,24,-1.5858,0.01635,1.58588
1979,9,25,-1.89387,0.50837,1.96091
1979,9,26,-2.15595,1.01131,2.38136
1979,9,27,-1.91174,1.55546,2.46459
1979,9,28,-1.81837,1.8332,2.58207
1979,9,29,-1.7019,2.2476,2.81924
1979,9,30,-1.51218,2.26659,2.72473
1979,10,1,-1.31572,2.30898,2.65753
1979,10,2,-1.25815,2.16928,2.50773
1979,10,3,-1.24573,2.29912,2.61492
1979,10,4,-0.99095,2.48137,2.67193
1979,10,5,-0.73689,2.52179,2.62725
1979,10,6,-0.40053,2.25506,2.29035
1979,10,7,-0.05103,1.94085,1.94152
1979,10,8,0.32564,1.43667,1.47311
1979,10,9,0.70037,0.98533,1.20888
1979,10,10,0.61029,0.9568,1.13487
1979,10,11,0.33754,1.05933,1.11181
1979,10,12,0.394,1.19541,1.25866
1979,10,13,0.55741,1.18933,1.31347
1979,10,14,1.06546,1.03399,1.4847
1979,10,15,1.19026,0.77021,1.41773
1979,10,16,1.38345,0.56347,1.4938
1979,10,17,1.75357,0.44204,1.80843
1979,10,18,2.10354,0.45979,2.1532
1979,10,19,2.29759,0.54628,2.36164
1979,10,20,2.36032,0.44828,2.40251
1979,10,21,2.20177,-0.04765,2.20229
1979,10,22,1.92864,-0.46751,1.98449
1979,10,23,1.58546,-0.72506,1.74339
1979,10,24,1.29567,-0.53566,1.40203
1979,10,25,1.35984,-0.47648,1.4409
1979,10,26,1.50279,-0.69555,1.65595
1979,10,27,1.40392,-0.82854,1.63017
1979,10,28,1.38811,-0.78332,1.59388
1979,10,29,1.12631,-0.51909,1.24017
1979,10,30,0.7148,-0.62543,0.94979
1979,10,31,0.54031,-0.85856,1.01443
1979,11,1,0.49042,-1.41588,1.49841
1979,11,2,0.33495,-1.60196,1.63661
1979,11,3,-0.01945,-1.66477,1.66488
1979,11,4,-0.25174,-1.27485,1.29947
1979,11,5,-0.13567,-0.78576,0.79739
1979,11,6,0.0237,-0.44596,0.44659
1979,11,7,0.27558,-0.57526,0.63786
1979,11,8,0.47289,-0.64457,0.79944
1979,11,9,0.42074,-0.70288,0.81919
1979,11,10,0.28157,-0.73155,0.78386
1979,11,11,0.54508,-0.5638,0.78421
1979,11,12,0.84092,-0.60598,1.03651
1979,11,13,0.93655,-0.4875,1.05583
1979,11,14,0.48897,-0.74928,0.89471
1979,11,15,0.26442,-1.31767,1.34394
1979,11,16,0.19289,-1.47197,1.48456
1979,11,17,0.09085,-1.5396,1.54228
1979,11,18,-0.03428,-1.53444,1.53482
1979,11,19,-0.1967,-1.51966,1.53234
1979,11,20,-0.59082,-1.63696,1.74032
1979,11,21,-1.00057,-1.34624,1.67734
1979,11,22,-1.10551,-1.05185,1.52595
1979,11,23,-1.34591,-1.10847,1.74361
1979,11,24,-1.36582,-0.87116,1.61999
1979,11,25,-1.29036,-0.43499,1.36171
1979,11,26,-1.42173,-0.24083,1.44199
1979,11,27,-1.26092,-0.34302,1.30674
1979,11,28,-0.97123,-0.0215,0.97147
1979,11,29,-0.77283,0.07731,0.77668
1979,11,30,-0.92891,-0.05632,0.93062
1979,12,1,-1.11591,0.19386,1.13262
1979,12,2,-1.08403,0.42585,1.16468
1979,12,3,-0.84923,0.6384,1.06242
1979,12,4,-0.65467,1.08326,1.26572
1979,12,5,-0.69343,1.15625,1.34824
1979,12,6,-0.65549,1.02711,1.21845
1979,12,7,-0.36018,1.03579,1.09663
1979,12,8,-0.38474,1.4762,1.52552
1979,12,9,-0.30217,1.66856,1.6957
1979,12,10,-0.16261,1.57426,1.58264
1979,12,11,-0.22507,1.75887,1.77321
1979,12,12,0.18914,1.93729,1.94651
1979,12,13,0.25457,1.67292,1.69218
1979,12,14,0.66048,1.31088,1.46787
1979,12,15,0.76467,0.93627,1.20885
1979,12,16,0.95093,0.57601,1.11178
1979,12,17,0.89579,0.38696,0.97579
1979,12,18,0.89836,0.10103,0.90402
1979,12,19,0.92274,0.01019,0.9228
1979,12,20,0.45599,-0.23844,0.51457
1979,12,21,0.04017,-0.52683,0.52836
1979,12,22,-0.11047,-0.60433,0.61435
1979,12,23,-0.26658,-0.52894,0.59232
1979,12,24,-0.45362,-0.0077,0.45368
1979,12,25,-0.77907,-0.0271,0.77954
1979,12,26,-0.89495,-0.77896,1.18647
1979,12,27,-0.79564,-0.93126,1.22486
1979,12,28,-0.90971,-0.88778,1.27111
1979,12,29,-1.0586,-0.5242,1.18128
1979,12,30,-1.06609,-0.29192,1.10534
1979,12,31,-0.74992,-0.24868,0.79008
1980,1,1,-0.62911,0.10598,0.63797
1980,1,2,-0.68542,0.25346,0.73078
1980,1,3,-0.58474,0.29712,0.65589
1980,1,4,-0.65776,0.35,0.74508
1980,1,5,-0.51914,0.77004,0.92869
1980,1,6,-0.40596,1.05324,1.12877
1980,1,7,-0.49025,0.80716,0.94438
1980,1,8,-0.37195,0.59771,0.70399
1980,1,9,-0.13152,0.72609,0.73791
1980,1,10,-0.16065,0.84163,0.85683
1980,1,11,-0.14146,0.68554,0.69998
1980,1,12,0.04499,0.61868,0.62031
1980,1,13,0.07292,0.39332,0.40002
1980,1,14,0.27855,0.25228,0.37581
1980,1,15,0.3627,-0.05181,0.36638
1980,1,16,0.60652,-0.67199,0.90523
1980,1,17,0.36681,-0.93007,0.99979
1980,1,18,0.15554,-1.08072,1.09186
1980,1,19,-0.02125,-0.63969,0.64005
1980,1,20,-0.35669,-0.38707,0.52635
1980,1,21,-0.27948,-0.39222,0.48161
1980,1,22,-0.31612,-0.49493,0.58727
1980,1,23,-0.60747,-0.39825,0.72638
1980,1,24,-0.79244,-0.49998,0.93699
1980,1,25,-0.78047,-0.13495,0.79205
1980,1,26,-0.7408,-0.0013,0.7408
1980,1,27,-0.54525,0.21662,0.58671
1980,1,28,-0.8628,0.25964,0.90102
1980,1,29,-1.01289,0.14157,1.02274
1980,1,30,-0.73818,0.27418,0.78745
1980,1,31,-0.39926,0.89829,0.98302
1980,2,1,-0.03292,1.25087,1.2513
1980,2,2,0.31826,0.97137,1.02218
1980,2,3,0.74537,0.95604,1.21226
1980,2,4,0.60645,1.33207,1.46362
1980,2,5,0.50171,1.22514,1.32389
1980,2,6,0.5435,0.9629,1.1057
1980,2,7,0.77852,0.71358,1.05607
1980,2,8,0.84262,0.65153,1.06512
1980,2,9,0.74575,0.64605,0.98667
1980,2,10,0.82638,0.86445,1.1959
1980,2,11,0.7295,0.73234,1.03368
1980,2,12,0.49784,0.84372,0.97965
1980,2,13,0.55659,0.84668,1.01324
1980,2,14,0.80506,0.79258,1.12974
1980,2,15,1.03354,0.67029,1.23187
1980,2,16,1.13319,0.53012,1.25106
1980,2,17,1.16062,0.15734,1.17123
1980,2,18,0.99798,0.25424,1.02985
1980,2,19,0.62643,-0.03013,0.62715
1980,2,20,0.55493,0.13402,0.57088
1980,2,21,0.48216,0.34928,0.59538
1980,2,22,0.35492,0.60236,0.69914
1980,2,23,0.27982,0.70906,0.76228
1980,2,24,0.25557,0.36581,0.44625
1980,2,25,0.28597,-0.13343,0.31556
1980,2,26,0.2916,-0.28965,0.41101
1980,2,27,0.01979,-0.41057,0.41104
1980,2,28,-0.37652,-0.47857,0.60893
1980,2,29,-0.28223,-0.44627,0.52802
1980,3,1,-0.2588,-0.38275,0.46203
1980,3,2,-0.04646,-0.40281,0.40549
1980,3,3,-0.14442,-0.50282,0.52315
1980,3,4,-0.49481,-0.64278,0.81118
1980,3,5,-0.83623,-0.7493,1.12282
1980,3,6,-1.01748,-0.90636,1.36263
1980,3,7,-1.19377,-0.54184,1.31099
1980,3,8,-1.38198,-0.57563,1.49707
1980,3,9,-1.64237,-0.16084,1.65023
1980,3,10,-1.74304,-0.4828,1.80867
1980,3,11,-1.30549,-0.1528,1.3144
1980,3,12,-1.30877,0.22214,1.32749
1980,3,13,-0.91094,0.33541,0.97073
1980,3,14,-1.03906,0.73531,1.27292
1980,3,15,-1.06638,0.88807,1.38775
1980,3,16,-0.77172,0.73205,1.0637
