Year,Month,Day,OMI1,OMI2,Amplitude
1979,5,1,1.44305,-0.1208,1.44809
1979,5,2,1.65582,0.07609,1.65757
1979,5,3,1.80599,0.28639,1.82856
1979,5,4,1.88246,0.4998,1.94767
1979,5,5,1.87849,0.70606,2.0068
1979,5,6,1.79176,0.89643,2.00349
1979,5,7,1.62404,1.06425,1.94168
1979,5,8,1.38089,1.20483,1.83261
1979,5,9,1.07129,1.31471,1.69591
1979,5,10,0.70727,1.39085,1.56035
1979,5,11,0.30344,1.42989,1.46173
1979,5,12,-0.12334,1.42776,1.43307
1979,5,13,-0.55443,1.38006,1.48727
1979,5,14,-0.9698,1.28331,1.60854
1979,5,15,-1.3488,1.13693,1.76405
1979,5,16,-1.6717,0.94543,1.92053
1979,5,17,-1.92206,0.71936,2.05227
1979,5,18,-2.08923,0.47383,2.14229
1979,5,19,-2.16979,0.22494,2.18142
1979,5,20,-2.16707,-0.01407,2.16712
1979,5,21,-2.08942,-0.23494,2.10259
1979,5,22,-1.9482,-0.43444,1.99605
1979,5,23,-1.7562,-0.61294,1.86009
1979,5,24,-1.52661,-0.77271,1.71102
1979,5,25,-1.27209,-0.91635,1.56777
1979,5,26,-1.00419,-1.04578,1.44985
1979,5,27,-0.73256,-1.16162,1.37332
1979,5,28,-0.46445,-1.26289,1.34559
1979,5,29,-0.20444,-1.34707,1.36249
1979,5,30,0.04532,-1.41019,1.41092
1979,5,31,0.28412,-1.44742,1.47504
1979,6,1,0.51106,-1.45397,1.54118
1979,6,2,0.72332,-1.4268,1.59967
1979,6,3,0.91571,-1.36628,1.64477
1979,6,4,1.08249,-1.27667,1.67382
1979,6,5,1.22007,-1.16438,1.68652
1979,6,6,1.32843,-1.03534,1.68424
1979,6,7,1.4104,-0.89351,1.66961
1979,6,8,1.4698,-0.74098,1.64601
1979,6,9,1.50994,-0.57886,1.6171
1979,6,10,1.53267,-0.40824,1.58611
1979,6,11,1.53806,-0.23057,1.55524
1979,6,12,1.52445,-0.04787,1.5252
1979,6,13,1.4888,0.13734,1.49512
1979,6,14,1.42715,0.3222,1.46306
